Id2,ledgerstyle,County,median_age_latest,median_age_moe_latest,median_age_moe_per_latest,median_age_prev,median_age_moe_prev,median_age_moe_per_prev,nj_median_age_latest,nj_median_age_prev,usa_median_age_latest,usa_median_age_prev,median_age_change,nj_median_age_change,usa_median_age_change
3400310480,Carlstadt,Bergen,39.7,3.8,9.57,41.5,3.8,9.57,37.6,38.3,37.6,36.5,-1.8,-0.7,1.1
3400313570,Cliffside Park,Bergen,44.1,2.3,5.22,40.8,2.3,5.22,37.6,38.3,37.6,36.5,3.3,-0.7,1.1
3400313810,Closter,Bergen,43.6,1.3,2.98,41.2,1.3,2.98,37.6,38.3,37.6,36.5,2.4,-0.7,1.1
3400315820,Cresskill,Bergen,43.4,2,4.61,43.3,2,4.61,37.6,38.3,37.6,36.5,0.1,-0.7,1.1
3400317530,Demarest,Bergen,45,4.5,10,42.1,4.5,10,37.6,38.3,37.6,36.5,2.9,-0.7,1.1
3400318400,Dumont,Bergen,40.9,1.1,2.69,39.2,1.1,2.69,37.6,38.3,37.6,36.5,1.7,-0.7,1.1
3400319510,East Rutherford,Bergen,35.5,2.8,7.89,39.2,2.8,7.89,37.6,38.3,37.6,36.5,-3.7,-0.7,1.1
3400320020,Edgewater,Bergen,37.9,1.1,2.9,36.6,1.1,2.9,37.6,38.3,37.6,36.5,1.3,-0.7,1.1
3400321300,Elmwood Park,Bergen,38.4,1.8,4.69,40.3,1.8,4.69,37.6,38.3,37.6,36.5,-1.9,-0.7,1.1
3400321450,Emerson,Bergen,43.2,1.7,3.94,44.6,1.7,3.94,37.6,38.3,37.6,36.5,-1.4,-0.7,1.1
3400321480,Englewood,Bergen,39.1,1.9,4.86,40.6,1.9,4.86,37.6,38.3,37.6,36.5,-1.5,-0.7,1.1
3400321510,Englewood Cliffs,Bergen,47.2,3.3,6.99,48.4,3.3,6.99,37.6,38.3,37.6,36.5,-1.2,-0.7,1.1
3400322470,Fair Lawn,Bergen,42.2,1.6,3.79,42.4,1.6,3.79,37.6,38.3,37.6,36.5,-0.2,-0.7,1.1
3400322560,Fairview,Bergen,38.1,2.8,7.35,33.5,2.8,7.35,37.6,38.3,37.6,36.5,4.6,-0.7,1.1
3400324420,Fort Lee,Bergen,45.8,1.5,3.28,43.6,1.5,3.28,37.6,38.3,37.6,36.5,2.2,-0.7,1.1
3400324990,Franklin Lakes,Bergen,46.7,1.6,3.43,43.3,1.6,3.43,37.6,38.3,37.6,36.5,3.4,-0.7,1.1
3400325770,Garfield,Bergen,35.4,0.9,2.54,35.4,0.9,2.54,37.6,38.3,37.6,36.5,0,-0.7,1.1
3400326640,Glen Rock,Bergen,41.7,1.3,3.12,40.8,1.3,3.12,37.6,38.3,37.6,36.5,0.9,-0.7,1.1
3400328680,Hackensack,Bergen,39.2,1.3,3.32,37.5,1.3,3.32,37.6,38.3,37.6,36.5,1.7,-0.7,1.1
3400330150,Harrington Park,Bergen,43.8,1.5,3.42,44.1,1.5,3.42,37.6,38.3,37.6,36.5,-0.3,-0.7,1.1
3400330420,Hasbrouck Heights,Bergen,41.2,2,4.85,42,2,4.85,37.6,38.3,37.6,36.5,-0.8,-0.7,1.1
3400330540,Haworth,Bergen,44.6,1.3,2.91,44.7,1.3,2.91,37.6,38.3,37.6,36.5,-0.1,-0.7,1.1
3400331920,Hillsdale,Bergen,43.7,0.9,2.06,41.7,0.9,2.06,37.6,38.3,37.6,36.5,2,-0.7,1.1
3400332310,Ho-Ho-Kus,Bergen,42.1,2.6,6.18,43.3,2.6,6.18,37.6,38.3,37.6,36.5,-1.2,-0.7,1.1
3400340020,Leonia,Bergen,42.6,1.7,3.99,42,1.7,3.99,37.6,38.3,37.6,36.5,0.6,-0.7,1.1
3400340680,Little Ferry,Bergen,41,1.9,4.63,39.3,1.9,4.63,37.6,38.3,37.6,36.5,1.7,-0.7,1.1
3400341100,Lodi,Bergen,36.5,1.1,3.01,38.5,1.1,3.01,37.6,38.3,37.6,36.5,-2,-0.7,1.1
3400342090,Lyndhurst,Bergen,41.2,2.1,5.1,40.4,2.1,5.1,37.6,38.3,37.6,36.5,0.8,-0.7,1.1
3400342750,Mahwah,Bergen,40.2,1.9,4.73,41,1.9,4.73,37.6,38.3,37.6,36.5,-0.8,-0.7,1.1
3400344880,Maywood,Bergen,42.1,1.8,4.28,42.8,1.8,4.28,37.6,38.3,37.6,36.5,-0.7,-0.7,1.1
3400346110,Midland Park,Bergen,42.3,2.6,6.15,40.7,2.6,6.15,37.6,38.3,37.6,36.5,1.6,-0.7,1.1
3400347610,Montvale,Bergen,42.8,2.1,4.91,42.2,2.1,4.91,37.6,38.3,37.6,36.5,0.6,-0.7,1.1
